action_length,always_reward_success,canonical_stage,commit_on_no_ir_success,committed_updates,condition,episode_index,first_before_actor_entropy,first_before_js,first_before_success_rate,first_predicted_improvement,first_score_before,goal,max_predicted_improvement,mean_predicted_improvement,mean_score_before,missed_repair_opportunity,necessity_class,no_ir_success,policy_mode,positive_probe_fraction,probes,rejected_updates,replicate,reset_seed,success,tentative_updates
200.0,0,stage5b2,0,0.0,no_ir,23,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,not_repaired,0,deterministic,nan,0,0.0,0,1635047829420965777,0,0.0
200.0,0,stage5b2,0,200.0,always_reward_only,23,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,not_repaired,0,deterministic,nan,0,0.0,0,1635047829420965777,0,0.0
200.0,0,stage5b2,0,57.0,virtual_reward_dormant_25,23,0.2274172306060791,0.006171201355755329,0.0,0.004396337550133467,7.131227903300896e-05,bury_bones,0.011248825117945671,0.0004288844966270237,0.0007816371291925405,0,not_repaired,0,deterministic,0.6,95,38.0,0,1635047829420965777,0,95.0
200.0,0,stage5b2,0,21.0,virtual_reward_dormant_100,23,0.025270633399486542,0.001612346968613565,0.0,3.611767169786617e-07,2.070177288260311e-05,bury_bones,3.611767169786617e-07,-8.65193407716389e-05,0.00014281862678798188,0,not_repaired,0,deterministic,0.7,30,9.0,0,1635047829420965777,0,30.0
200.0,1,stage5b2,0,0.0,no_ir,24,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,907393157681425583,0,0.0
183.0,1,stage5b2,0,183.0,always_reward_only,24,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,907393157681425583,1,0.0
200.0,1,stage5b2,0,71.0,virtual_reward_dormant_25,24,0.46318483352661133,0.01705561950802803,0.0,0.00018537495634518564,0.0002566874318290502,bury_bones,0.09442764520645142,0.008202101922536549,0.08755230731635429,0,ir_needed,0,deterministic,0.6826923076923077,104,33.0,0,907393157681425583,0,104.0
174.0,1,stage5b2,0,16.0,virtual_reward_dormant_100,24,0.24485990405082703,0.012103814631700516,0.0,8.250481187133119e-09,2.6569587134872563e-06,bury_bones,4.1801399675023276e-08,1.6880128877789786e-09,1.229461166182668e-07,0,ir_needed,0,deterministic,0.5517241379310345,29,13.0,0,907393157681425583,1,29.0
200.0,0,stage5b2,0,0.0,no_ir,0,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,not_repaired,0,sampled,nan,0,0.0,0,6879745109233889997,0,0.0
200.0,0,stage5b2,0,200.0,always_reward_only,0,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,not_repaired,0,sampled,nan,0,0.0,0,6879745109233889997,0,0.0
200.0,0,stage5b2,0,54.0,virtual_reward_dormant_25,0,0.588252604007721,0.013785770162940025,0.0,-2.0376821339596063e-05,2.1452115106512792e-05,bury_bones,0.010296426713466644,9.392999090988771e-05,0.00022317940280176365,0,not_repaired,0,sampled,0.5934065934065934,91,37.0,0,6879745109233889997,0,91.0
